# Russian	Uzbek (Latin)	English
Не удалось прочитать сохранённую операцию.	Saqlangan amalni o‘qib bo‘lmadi.	Could not read the saved operation.
Сборка ФБО	FBO yig‘ish	FBO picking
Нужно 	Kerak: 	Required\s
 · Отобрано 	 · Terildi: 	 · Picked\s
 · Упаковано 	 · Qadoqlandi: 	 · Packed\s
Состав заявки изменился. Нужна сверка.	Ariza tarkibi o‘zgardi. Tekshirish kerak.	The request contents have changed. Reconciliation is required.
Недостаточно доступного остатка: 	Mavjud qoldiq yetarli emas: 	Not enough available stock:\s
 ед.	 dona	 units
Начать отбор	Terishni boshlash	Start picking
Все короба поставки подтверждены	Jo‘natmaning barcha qutilari tasdiqlandi	All shipment boxes are confirmed
Скачать файл WB	WB faylini yuklab olish	Download WB file
ШК товара	Tovar SHK	Product barcode
ШК короба поставки	Jo‘natma qutisining shtrix-kodi	Shipment box barcode
ШК паллета / короба без паллета	Pallet shtrix-kodi / palletsiz quti	Pallet barcode / box without a pallet
ШК короба на выбранном паллете	Tanlangan palletdagi qutining shtrix-kodi	Barcode of a box on the selected pallet
ШК короба для упаковки / целого короба	Qadoqlash qutisi / butun quti shtrix-kodi	Packing box / whole box barcode
КИЗ товара	Mahsulot KIZi	Product KIZ
Подтвердить скан	Skanni tasdiqlash	Confirm scan
Осталось отобрать 	Terish uchun qoldi: 	Units left to pick:\s
Отберите 	Tering: 	Pick\s
 ед. · 	 dona · 	 units ·\s
Для целого короба требуется актуализация: количество и КИЗ расходятся.	Butun qutini qayta sanang: miqdor va KIZlar soni mos kelmayapti.	Recount the whole box: the quantity and KIZ count do not match.
Короб забран целиком	Quti butunligicha olindi	Whole box picked
Другой исходный короб	Boshqa manba quti	Another source box
 · Нужных коробов: 	 · Kerakli qutilar: 	 · Required boxes:\s
Без паллета	Palletsiz	No pallet
Паллет 	Pallet 	Pallet\s
Другой паллет	Boshqa pallet	Another pallet
Перейти к упаковке	Qadoqlashga o‘tish	Continue to packing
Осталось вложить 	Qutiga joylash uchun qoldi: 	Units left to pack:\s
Открыт короб 	Ochiq quti: 	Open box:\s
Закрыть короб	Qutini yopish	Close box
Отложить пустой короб	Bo‘sh qutini chetga qo‘yish	Set empty box aside
Целые короба к добавлению: 	Qo‘shiladigan butun qutilar: 	Whole boxes to add:\s
